,0
0,1
1,Andaman and Nicobar Islands
2,138
3, 8  
4,5410
5, 52  
6,66
7, 1  
8,2
9,Andhra Pradesh
10,81471
11, 7240  
12,931839
13, 4421  
14,7616
15, 37  
16,3
17,Arunachal Pradesh
18,550
19, 97  
20,16940
21, 19  
22,56
23,  
24,4
25,Assam
26,15545
27, 1603  
28,218958
29, 619  
30,1186
31, 14  
32,5
33,Bihar
34,81961
35, 5541  
36,306753
37, 6741  
38,2087
39, 77  
40,6
41,Chandigarh
42,4902
43, 280  
44,32608
45, 428  
46,433
47, 3  
48,7
49,Chhattisgarh
50,122963
51, 516  
52,509622
53, 17029  
54,7111
55, 218  
56,8
57,Dadra and Nagar Haveli and Daman and Diu
58,1904
59, 119  
60,4471
61, 118  
62,4
63,  
64,9
65,Delhi
66,93080
67, 1051  
68,897804
69, 22695  
70,13898
71, 357  
72,10
73,Goa
74,12078
75, 1038  
76,62113
77, 485  
78,993
79, 17  
80,11
81,Gujarat
82,107594
83, 7466  
84,367972
85, 6479  
86,6171
87, 152  
88,12
89,Haryana
90,69384
91, 5327  
92,340247
93, 5104  
94,3703
95, 60  
96,13
97,Himachal Pradesh
98,13411
99, 1165  
100,71423
101, 884  
102,1304
103, 24  
104,14
105,Jammu and Kashmir
106,18064
107, 1071  
108,138184
109, 944  
110,2126
111, 15  
112,15
113,Jharkhand
114,45592
115, 2177  
116,148364
117, 2865  
118,1888
119, 110  
120,16
121,Karnataka
122,234502
123, 20172  
124,1055612
125, 9058  
126,14283
127, 208  
128,17
129,Kerala
130,198904
131, 19593  
132,1173202
133, 7067  
134,5080
135, 25  
136,18
137,Ladakh
138,1972
139, 62  
140,11129
141, 209  
142,136
143, 1  
144,19
145,Lakshadweep
146,1044
147, 124  
148,917
149, 33  
150,1
151,  
152,20
153,Madhya Pradesh
154,89363
155, 1723  
156,391299
157, 11091  
158,5041
159, 104  
160,21
161,Maharashtra
162,696298
163, 2666  
164,3468610
165, 63818  
166,63928
167, 676  
168,22
169,Manipur
170,705
171, 115  
172,29193
173, 13  
174,383
175, 2  
176,23
177,Meghalaya
178,1244
179, 6  
180,14384
181, 148  
182,158
183, 1  
184,24
185,Mizoram
186,712
187, 68  
188,4663
189, 36  
190,13
191, 1  
192,25
193,Nagaland
194,558
195, 101  
196,12350
197, 12  
198,95
199, 1  
200,26
201,Odisha
202,39893
203, 3175  
204,359467
205, 3464  
206,1981
207, 8  
208,27
209,Puducherry
210,6767
211, 437  
212,44767
213, 453  
214,737
215, 9  
216,28
217,Punjab
218,46565
219, 2622  
220,277189
221, 2949  
222,8356
223, 92  
224,29
225,Rajasthan
226,127616
227, 10322  
228,367485
229, 4959  
230,3527
231, 74  
232,30
233,Sikkim
234,798
235, 105  
236,6223
237, 16  
238,137
239,  
240,31
241,Tamil Nadu
242,100668
243, 5620  
244,952186
245, 9142  
246,13475
247, 80  
248,32
249,Telengana
250,62929
251, 4781  
252,330304
253, 3307  
254,1999
255, 38  
256,33
257,Tripura
258,727
259, 82  
260,33408
261, 18  
262,394
263,  
264,34
265,Uttarakhand
266,33330
267, 3381  
268,112001
269, 1622  
270,2102
271, 81  
272,35
273,Uttar Pradesh
274,288144
275, 14491  
276,752211
277, 23231  
278,10959
279, 222  
280,36
281,West Bengal
282,81375
283, 6638  
284,635802
285, 7584  
286,10884
287, 59  
288,Total#
289, 2682751
290, 129811  
291,14085110
292,  217113  
293,192311
294, 2767 
295,*(Including foreign Nationals)
296,**( more than 70% cases due to comorbidities )
297,#States wise distribution is subject to further verification and reconciliation
298,#Our figures are being reconciled with ICMR
299,1
300,Andaman and Nicobar Islands
301,138
302, 8  
303,5410
304, 52  
305,66
306, 1  
307,2
308,Andhra Pradesh
309,81471
310, 7240  
311,931839
312, 4421  
313,7616
314, 37  
315,3
316,Arunachal Pradesh
317,550
318, 97  
319,16940
320, 19  
321,56
322,  
323,4
324,Assam
325,15545
326, 1603  
327,218958
328, 619  
329,1186
330, 14  
331,5
332,Bihar
333,81961
334, 5541  
335,306753
336, 6741  
337,2087
338, 77  
339,6
340,Chandigarh
341,4902
342, 280  
343,32608
344, 428  
345,433
346, 3  
347,7
348,Chhattisgarh
349,122963
350, 516  
351,509622
352, 17029  
353,7111
354, 218  
355,8
356,Dadra and Nagar Haveli and Daman and Diu
357,1904
358, 119  
359,4471
360, 118  
361,4
362,  
363,9
364,Delhi
365,93080
366, 1051  
367,897804
368, 22695  
369,13898
370, 357  
371,10
372,Goa
373,12078
374, 1038  
375,62113
376, 485  
377,993
378, 17  
379,11
380,Gujarat
381,107594
382, 7466  
383,367972
384, 6479  
385,6171
386, 152  
387,12
388,Haryana
389,69384
390, 5327  
391,340247
392, 5104  
393,3703
394, 60  
395,13
396,Himachal Pradesh
397,13411
398, 1165  
399,71423
400, 884  
401,1304
402, 24  
403,14
404,Jammu and Kashmir
405,18064
406, 1071  
407,138184
408, 944  
409,2126
410, 15  
411,15
412,Jharkhand
413,45592
414, 2177  
415,148364
416, 2865  
417,1888
418, 110  
419,16
420,Karnataka
421,234502
422, 20172  
423,1055612
424, 9058  
425,14283
426, 208  
427,17
428,Kerala
429,198904
430, 19593  
431,1173202
432, 7067  
433,5080
434, 25  
435,18
436,Ladakh
437,1972
438, 62  
439,11129
440, 209  
441,136
442, 1  
443,19
444,Lakshadweep
445,1044
446, 124  
447,917
448, 33  
449,1
450,  
451,20
452,Madhya Pradesh
453,89363
454, 1723  
455,391299
456, 11091  
457,5041
458, 104  
459,21
460,Maharashtra
461,696298
462, 2666  
463,3468610
464, 63818  
465,63928
466, 676  
467,22
468,Manipur
469,705
470, 115  
471,29193
472, 13  
473,383
474, 2  
475,23
476,Meghalaya
477,1244
478, 6  
479,14384
480, 148  
481,158
482, 1  
483,24
484,Mizoram
485,712
486, 68  
487,4663
488, 36  
489,13
490, 1  
491,25
492,Nagaland
493,558
494, 101  
495,12350
496, 12  
497,95
498, 1  
499,26
500,Odisha
501,39893
502, 3175  
503,359467
504, 3464  
505,1981
506, 8  
507,27
508,Puducherry
509,6767
510, 437  
511,44767
512, 453  
513,737
514, 9  
515,28
516,Punjab
517,46565
518, 2622  
519,277189
520, 2949  
521,8356
522, 92  
523,29
524,Rajasthan
525,127616
526, 10322  
527,367485
528, 4959  
529,3527
530, 74  
531,30
532,Sikkim
533,798
534, 105  
535,6223
536, 16  
537,137
538,  
539,31
540,Tamil Nadu
541,100668
542, 5620  
543,952186
544, 9142  
545,13475
546, 80  
547,32
548,Telengana
549,62929
550, 4781  
551,330304
552, 3307  
553,1999
554, 38  
555,33
556,Tripura
557,727
